TableName                                                                                                                       ,IndexName                                                                                                                       ,IndexType                                                   ,avg_fragmentation_in_percent
DimProduct                                                                                                                      ,AK_DimProduct_ProductAlternateKey_StartDate                                                                                     ,NONCLUSTERED INDEX                                          ,          66.666666666666657
DimReseller                                                                                                                     ,AK_DimReseller_ResellerAlternateKey                                                                                             ,NONCLUSTERED INDEX                                          ,          66.666666666666657
FactResellerSales                                                                                                               ,IX_FactResellerSales_ResellerKey                                                                                                ,NONCLUSTERED INDEX                                          ,          59.693877551020414
FactSurveyResponse                                                                                                              ,IX_FactSurveyResponse_DateKey                                                                                                   ,NONCLUSTERED INDEX                                          ,                        50.0
FactSurveyResponse                                                                                                              ,IX_FactSurveyResponse_CustomerKey                                                                                               ,NONCLUSTERED INDEX                                          ,                        50.0
FactSurveyResponse                                                                                                              ,IX_FactSurveyResponse_ProductSubcategoryKey                                                                                     ,NONCLUSTERED INDEX                                          ,                        50.0
DatabaseLog                                                                                                                     ,NULL                                                                                                                            ,HEAP                                                        ,                        50.0
DimProduct                                                                                                                      ,IX_DimProduct_ProductSubcategoryKey                                                                                             ,NONCLUSTERED INDEX                                          ,                        50.0
DimAccount                                                                                                                      ,PK_DimAccount                                                                                                                   ,CLUSTERED INDEX                                             ,                        50.0
DimDate                                                                                                                         ,AK_DimDate_FullDateAlternateKey                                                                                                 ,NONCLUSTERED INDEX                                          ,                        50.0
DimReseller                                                                                                                     ,IX_DimReseller_GeographyKey                                                                                                     ,NONCLUSTERED INDEX                                          ,                        50.0
FactCallCenter                                                                                                                  ,PK_FactCallCenter_FactCallCenterID                                                                                              ,CLUSTERED INDEX                                             ,                        50.0
DimGeography                                                                                                                    ,PK_DimGeography_GeographyKey                                                                                                    ,CLUSTERED INDEX                                             ,           30.76923076923077
