Database Name                                                                                                                   ,file_id    ,name                                                                                                                            ,physical_name                                                                                                                                                                                                                                                       ,type_desc                                                   ,state_desc                                                  ,is_percent_growth,growth     ,Growth in MB        ,Total Size in MB    ,max_size   
AdventureWorksDW2008R2                                                                                                          ,          1,AdventureWorksDW2008R2_Data                                                                                                     ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\adventure-works-2008r2-dw-data-file.mdf                                                                                                                                                        ,ROWS                                                        ,ONLINE                                                      ,                0,       2048,                  16,                  90,         -1
AdventureWorksDW2008R2                                                                                                          ,          2,AdventureWorksDW2008R2_Log                                                                                                      ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\AdventureWorksDW2008R2_log.LDF                                                                                                                                                                 ,LOG                                                         ,ONLINE                                                      ,                1,         10,                   0,                   0,         -1
master                                                                                                                          ,          1,master                                                                                                                          ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\master.mdf                                                                                                                                                                                     ,ROWS                                                        ,ONLINE                                                      ,                1,         10,                   0,                   4,         -1
master                                                                                                                          ,          2,mastlog                                                                                                                         ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\mastlog.ldf                                                                                                                                                                                    ,LOG                                                         ,ONLINE                                                      ,                1,         10,                   0,                   0,         -1
model                                                                                                                           ,          1,modeldev                                                                                                                        ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\model.mdf                                                                                                                                                                                      ,ROWS                                                        ,ONLINE                                                      ,                0,       8192,                  64,                   3,         -1
model                                                                                                                           ,          2,modellog                                                                                                                        ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\modellog.ldf                                                                                                                                                                                   ,LOG                                                         ,ONLINE                                                      ,                0,       8192,                  64,                  16,         -1
msdb                                                                                                                            ,          1,MSDBData                                                                                                                        ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\MSDBData.mdf                                                                                                                                                                                   ,ROWS                                                        ,ONLINE                                                      ,                1,         10,                   0,                  17,         -1
msdb                                                                                                                            ,          2,MSDBLog                                                                                                                         ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\MSDBLog.ldf                                                                                                                                                                                    ,LOG                                                         ,ONLINE                                                      ,                1,         10,                   0,                   0,  268435456
tempdb                                                                                                                          ,          1,tempdev                                                                                                                         ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\tempdb.mdf                                                                                                                                                                                     ,ROWS                                                        ,ONLINE                                                      ,                0,       8192,                  64,                   8,         -1
tempdb                                                                                                                          ,          2,templog                                                                                                                         ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\templog.ldf                                                                                                                                                                                    ,LOG                                                         ,ONLINE                                                      ,                0,       8192,                  64,                   8,         -1
tempdb                                                                                                                          ,          3,temp2                                                                                                                           ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_2.ndf                                                                                                                                                                             ,ROWS                                                        ,ONLINE                                                      ,                0,       8192,                  64,                   8,         -1
tempdb                                                                                                                          ,          4,temp3                                                                                                                           ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_3.ndf                                                                                                                                                                             ,ROWS                                                        ,ONLINE                                                      ,                0,       8192,                  64,                   8,         -1
tempdb                                                                                                                          ,          5,temp4                                                                                                                           ,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_4.ndf                                                                                                                                                                             ,ROWS                                                        ,ONLINE                                                      ,                0,       8192,                  64,                   8,         -1
