SchemaName                                                                                                                      ,TableName                                                                                                                       ,TotalRowCount       
dbo                                                                                                                             ,AdventureWorksDWBuildVersion                                                                                                    ,                   1
dbo                                                                                                                             ,DatabaseLog                                                                                                                     ,                 115
dbo                                                                                                                             ,DimAccount                                                                                                                      ,                  99
dbo                                                                                                                             ,DimCurrency                                                                                                                     ,                 105
dbo                                                                                                                             ,DimCustomer                                                                                                                     ,               18484
dbo                                                                                                                             ,DimDate                                                                                                                         ,                1188
dbo                                                                                                                             ,DimDepartmentGroup                                                                                                              ,                   7
dbo                                                                                                                             ,DimEmployee                                                                                                                     ,                 296
dbo                                                                                                                             ,DimGeography                                                                                                                    ,                 655
dbo                                                                                                                             ,DimOrganization                                                                                                                 ,                  14
dbo                                                                                                                             ,DimProduct                                                                                                                      ,                 606
dbo                                                                                                                             ,DimProductCategory                                                                                                              ,                   4
dbo                                                                                                                             ,DimProductSubcategory                                                                                                           ,                  37
dbo                                                                                                                             ,DimPromotion                                                                                                                    ,                  16
dbo                                                                                                                             ,DimReseller                                                                                                                     ,                 701
dbo                                                                                                                             ,DimSalesReason                                                                                                                  ,                  10
dbo                                                                                                                             ,DimSalesTerritory                                                                                                               ,                  11
dbo                                                                                                                             ,DimScenario                                                                                                                     ,                   3
dbo                                                                                                                             ,FactAdditionalInternationalProductDescription                                                                                   ,               15168
dbo                                                                                                                             ,FactCallCenter                                                                                                                  ,                 120
dbo                                                                                                                             ,FactCurrencyRate                                                                                                                ,               14264
dbo                                                                                                                             ,FactFinance                                                                                                                     ,               39409
dbo                                                                                                                             ,FactInternetSales                                                                                                               ,               60398
dbo                                                                                                                             ,FactInternetSalesReason                                                                                                         ,               64515
dbo                                                                                                                             ,FactResellerSales                                                                                                               ,               60855
dbo                                                                                                                             ,FactSalesQuota                                                                                                                  ,                 163
dbo                                                                                                                             ,FactSurveyResponse                                                                                                              ,                2727
dbo                                                                                                                             ,IndexFrag                                                                                                                       ,                  15
dbo                                                                                                                             ,ProspectiveBuyer                                                                                                                ,                2059
dbo                                                                                                                             ,TempTable                                                                                                                       ,               64515
